_id,challengeId,userId,totalQuestionsAnswered,numOfCorrectAnswers,winRatio,averageSpeed,createdAt,updatedAt,__v
61596d61fde7150016855eab,61514fd3a0b7c93814e65a33,6082a8083926fe29c8c7f7f9,59,46,4600,5,2021-10-03T08:44:17.048Z,2021-10-03T08:44:17.048Z,0
615a173809daac001647a629,61514fd5a0b7c93814e65a3d,614ff9b5ed4e5c00168500e5,35,22,2200,9,2021-10-03T20:48:56.559Z,2021-10-03T20:48:56.559Z,0
615c13f9b2fa95001614f4ff,615a8e38c9f0ee4d30615b1e,6082a8683926fe29c8c7f8d9,38,33,3300,8,2021-10-05T08:59:37.661Z,2021-10-05T08:59:37.661Z,0
615e97024e522600167b1b64,615a8e39c9f0ee4d30615b28,615e94ed4e522600167b1b02,36,21,2100,8,2021-10-07T06:43:14.122Z,2021-10-07T06:43:14.122Z,0
6162d1b077c6310016e7f126,615a8e39c9f0ee4d30615b28,614ff9b5ed4e5c00168500e5,42,27,2700,7,2021-10-10T11:42:40.172Z,2021-10-10T11:42:40.172Z,0
6163175f77c6310016e7f837,615a8e38c9f0ee4d30615b20,614cc6e53c23350016db26bf,47,36,3600,6,2021-10-10T16:39:59.873Z,2021-10-10T16:39:59.873Z,0
6163309c453ce40016fbf152,615a8e39c9f0ee4d30615b28,6151f25c276836001637b5f7,19,8,800,16,2021-10-10T18:27:40.653Z,2021-10-10T18:27:40.653Z,0
6165724c2f154c0016cf5839,615a8e39c9f0ee4d30615b28,6164b1222f154c0016cf4ae1,36,17,1700,8,2021-10-12T11:32:28.065Z,2021-10-12T11:32:28.065Z,0
61661bb667bd6b00162cbca9,615a8e39c9f0ee4d30615b22,61661a1c67bd6b00162cbc3b,33,24,2400,9,2021-10-12T23:35:18.423Z,2021-10-12T23:35:18.423Z,0
6166a49ad879a10016efbd98,61666613e161a20f9cfa3269,6082b1cf3926fe29c8c80f7d,35,26,2600,9,2021-10-13T09:19:22.063Z,2021-10-13T09:19:22.063Z,0
61686e78e8dd7400164bc12b,61666614e161a20f9cfa326d,61686b5fe8dd7400164bc055,31,21,2100,10,2021-10-14T17:52:56.594Z,2021-10-14T17:52:56.594Z,0
616a1ecba306bd00168b4d10,61666613e161a20f9cfa326b,614cc6e53c23350016db26bf,55,37,3700,5,2021-10-16T00:37:31.527Z,2021-10-16T00:37:31.527Z,0
616bc4f7c65f210016558959,61666614e161a20f9cfa326f,616bc1e3c65f2100165588cb,29,17,1700,10,2021-10-17T06:38:47.688Z,2021-10-17T06:38:47.688Z,0
616bd8a9c65f210016558b5e,61666613e161a20f9cfa3269,6082a8083926fe29c8c7f7f9,59,44,4400,5,2021-10-17T08:02:49.278Z,2021-10-17T08:02:49.278Z,0
616ddab9161eed0016df3f9e,616d2c7b21b46e1be8c910f9,616dd87f161eed0016df3f40,38,19,1900,8,2021-10-18T20:36:09.796Z,2021-10-18T20:36:09.796Z,0
616e92e4da3a2f001647cab8,616d2c7d21b46e1be8c91101,6167b801c3e3fd0016864dce,32,20,2000,9,2021-10-19T09:41:56.610Z,2021-10-19T09:41:56.610Z,0
6171a572187f110016002592,616d2c7d21b46e1be8c91101,616dcaad161eed0016df3e30,24,10,1000,13,2021-10-21T17:37:54.522Z,2021-10-21T17:37:54.522Z,0
6173fb24b35eaf0016e8e767,617350bcefb76e00162b8deb,614cc6e53c23350016db26bf,59,48,4800,5,2021-10-23T12:08:04.316Z,2021-10-23T12:08:04.316Z,0
6178712bfd921f0016160aa2,617350bcefb76e00162b8df3,61786ed5fd921f0016160a5f,28,15,1500,11,2021-10-26T21:20:43.509Z,2021-10-26T21:20:43.509Z,0
61788612fd921f0016160bc9,617350bcefb76e00162b8df3,6178822bfd921f0016160b39,13,4,400,23,2021-10-26T22:49:54.756Z,2021-10-26T22:49:54.756Z,0
6184170664422c0016e71216,617f855266ae344fcc51e3de,60e75bb9df20f743607ab620,27,19,1900,11,2021-11-04T17:23:18.997Z,2021-11-04T17:23:18.997Z,0
6184299f64422c0016e712f8,617f855666ae344fcc51e3e3,614cc6e53c23350016db26bf,59,40,4000,5,2021-11-04T18:42:39.069Z,2021-11-04T18:42:39.069Z,0
6186ee145a4a360016781a9e,6185c5bc0640370016d8efc9,618286c6dddee7001634b79a,22,14,1400,14,2021-11-06T21:05:24.482Z,2021-11-06T21:05:24.482Z,0
61877a235a4a36001678211f,6185c5bc0640370016d8efc7,618775525a4a36001678204e,14,3,300,21,2021-11-07T07:02:59.233Z,2021-11-07T07:02:59.233Z,0
618f819ba24eec00162a5e49,618f003ca24eec00162a52ef,618d1f9f240b220016b8360e,21,11,1100,14,2021-11-13T09:12:59.802Z,2021-11-13T09:12:59.802Z,0
6191444a9384310016c3411b,618f003ca24eec00162a52ef,618bb8cec07b8b0016b171c2,25,10,1000,12,2021-11-14T17:15:54.387Z,2021-11-14T17:15:54.387Z,0
6194022154202000161fd166,618f003ca24eec00162a52ef,6193ff9e54202000161fd112,28,15,1500,11,2021-11-16T19:10:25.615Z,2021-11-16T19:10:25.615Z,0
619571059342cc00168b3a98,618f003ca24eec00162a52ef,6194049954202000161fd248,16,8,800,19,2021-11-17T21:15:49.287Z,2021-11-17T21:15:49.287Z,0
6197aeeb9b79250016f6b9f1,618f003ca24eec00162a52ef,6197ac839b79250016f6b92f,21,14,1400,14,2021-11-19T14:04:27.900Z,2021-11-19T14:04:27.900Z,0
619955f22bd98b0016374b34,61983abc9b79250016f6d0f1,6194049954202000161fd248,23,18,1800,13,2021-11-20T20:09:22.062Z,2021-11-20T20:09:22.062Z,0
619e07b626f1e1001686f731,61983abc9b79250016f6d0e9,6126a17191d7b90016ef2fee,59,28,2800,5,2021-11-24T09:36:54.500Z,2021-11-24T09:36:54.500Z,0
619ea68126f1e10016871cfd,619e52b9006fa73d68d130ae,61870f375a4a360016781e09,26,10,1000,12,2021-11-24T20:54:25.110Z,2021-11-24T20:54:25.110Z,0
619fe21f771a230016405df7,619e52d1006fa73d68d130af,619d386d133ed90016bcd78b,17,1,100,18,2021-11-25T19:21:03.738Z,2021-11-25T19:21:03.738Z,0
61a00c8a771a230016406b98,619e52d1006fa73d68d130af,619c274c133ed90016bca1dd,37,17,1700,8,2021-11-25T22:22:02.545Z,2021-11-25T22:22:02.545Z,0
61a08eee771a23001640774e,619e52d1006fa73d68d130af,61a08c08771a2300164076f9,13,6,600,23,2021-11-26T07:38:22.792Z,2021-11-26T07:38:22.792Z,0
61a0ce8670d7fe001619d1a5,619e52d1006fa73d68d130af,619fa83b771a230016404292,17,12,1200,18,2021-11-26T12:09:42.015Z,2021-11-26T12:09:42.015Z,0
