_id,classId,lessonId,subjectId,courseId,userId,createdAt,updatedAt,__v
6030061fe09d7f0e74107668,60224d726460b71eb90581a7,6012bdcecfe09249249f7e9c,5fff5bab3fd2d54b08047c82,5fc8cfbb81a55b4c3c19737d,60224d726460b71eb90581a5,2021-02-19T18:40:31.010Z,2021-02-19T18:40:31.010Z,0
60300641e09d7f0e7410766b,null,6012cec2cfe09249249f88fe,60119a3331c66a2ebd9eb4cf,5fff72b3de0bdb47f826feaf,6016567a31c66a2ebd9eb56a,2021-02-19T18:41:05.669Z,2021-02-19T18:41:05.669Z,0
6030505769746d34c8265aa0,60224d726460b71eb90581a7,6012bdd3cfe09249249f7eac,5fff5bab3fd2d54b08047c82,5fc8cfbb81a55b4c3c19737d,60224d726460b71eb90581a5,2021-02-19T23:57:11.213Z,2021-02-19T23:57:11.213Z,0
6030511669746d34c8265aa3,null,6012d2abcfe09249249f89f4,60119a5531c66a2ebd9eb4d3,5fff72b3de0bdb47f826feaf,6016567a31c66a2ebd9eb56a,2021-02-20T00:00:22.871Z,2021-02-20T00:00:22.871Z,0
6030e91f4ad46f1ec0a932a5,,6012bdcecfe09249249f7e9c,5fff5bab3fd2d54b08047c82,5fc8cfbb81a55b4c3c19737d,602bd4ae29299e2bbcd9f9e4,2021-02-20T10:49:03.517Z,2021-02-20T10:49:03.517Z,0
60315f4c3548500dc810d3a3,null,6012d2abcfe09249249f89f4,60119a5531c66a2ebd9eb4d3,5fff72b3de0bdb47f826feaf,6016567a31c66a2ebd9eb56a,2021-02-20T19:13:16.783Z,2021-02-20T19:13:16.783Z,0
60315fda3548500dc810d3a6,null,6012cec2cfe09249249f88fe,60119a3331c66a2ebd9eb4cf,5fff72b3de0bdb47f826feaf,6016567a31c66a2ebd9eb56a,2021-02-20T19:15:38.208Z,2021-02-20T19:15:38.208Z,0
6031789d93f119121bb1d109,null,6012bdcecfe09249249f7ea0,5fff5bab3fd2d54b08047c82,5fc8cfbb81a55b4c3c19737d,602bd4ae29299e2bbcd9f9e4,2021-02-20T21:01:17.211Z,2021-02-20T21:01:17.211Z,0
60317e7293f119121bb1d10e,null,6012c173cfe09249249f7ecc,5fff5c253fd2d54b08047c83,5fc8cfbb81a55b4c3c19737d,602bd4ae29299e2bbcd9f9e4,2021-02-20T21:26:10.193Z,2021-02-20T21:26:10.193Z,0
60317ee193f119121bb1d111,null,6012c2d9cfe09249249f7ffa,5fff5cb03fd2d54b08047c8b,5fc8cfbb81a55b4c3c19737d,602bd4ae29299e2bbcd9f9e4,2021-02-20T21:28:01.851Z,2021-02-20T21:28:01.851Z,0
6033de5f1f3dbb0015d58d2c,null,6012d1b0cfe09249249f8956,60119a4131c66a2ebd9eb4d0,5fff72b3de0bdb47f826feaf,6016043dbcdb7c3b140613c1,2021-02-22T16:39:59.386Z,2021-02-22T16:39:59.386Z,0
6033f0f6d1d84d0015a29fb5,null,6012cec2cfe09249249f8900,60119a3331c66a2ebd9eb4cf,5fff72b3de0bdb47f826feaf,6016043dbcdb7c3b140613c1,2021-02-22T17:59:18.090Z,2021-02-22T17:59:18.090Z,0
6033f258d1d84d0015a29fb8,null,6012cec2cfe09249249f88fe,60119a3331c66a2ebd9eb4cf,5fff72b3de0bdb47f826feaf,6016043dbcdb7c3b140613c1,2021-02-22T18:05:12.189Z,2021-02-22T18:05:12.189Z,0
6034b4ccc8bbca0015421e03,null,6012d22fcfe09249249f898a,60119a4431c66a2ebd9eb4d1,5fff72b3de0bdb47f826feaf,6034b46ec8bbca0015421dfe,2021-02-23T07:54:52.063Z,2021-02-23T07:54:52.063Z,0
6034b742c8bbca0015421e06,null,6012bdcecfe09249249f7e9c,5fff5bab3fd2d54b08047c82,5fc8cfbb81a55b4c3c19737d,6016567a31c66a2ebd9eb56a,2021-02-23T08:05:22.410Z,2021-02-23T08:05:22.410Z,0
603517d333c730001565285e,null,6012cecacfe09249249f8916,60119a3331c66a2ebd9eb4cf,5fff72b3de0bdb47f826feaf,6016567a31c66a2ebd9eb56a,2021-02-23T14:57:23.404Z,2021-02-23T14:57:23.404Z,0
6035192233c7300015652864,null,6012cec6cfe09249249f890c,60119a3331c66a2ebd9eb4cf,5fff72b3de0bdb47f826feaf,6016567a31c66a2ebd9eb56a,2021-02-23T15:02:58.838Z,2021-02-23T15:02:58.838Z,0
